title_product_a,title_product_b,manufacturer_a,manufacturer_b,product_a_barcode,product_b_barcode,m_source_id,c_source_id
"O.B. tamponai SUPER, 16 vnt.","O.B. tamponai ORIGINAL NORMAL, 16 vnt.",O.B.,o-b,3574661350134,3574661350134,400168300131,23650
"SENI drėgnos servetėlės CARE, 48 vnt.","ACRO BIOTECH testas 10 narkotinių medžiagų aptikimo seilėse nustatymui, 1 vnt.",SENI,acro-biotech,5900516422370,4018906045526,590051642123,27291
"NATURA+ atviras maišelis, 100 mm, 10 vnt.","NATURA atviri maišeliai su filtru, dvigubas užsegimas INVISICLOSE, 100 mm, 10 vnt.",NATURA+,convatec,7684551157852,768455115785,204801,15494
"NAILNER teptukas nagų grybeliui gydyti TREAT & COLOUR, 5 ml","NAILNER teptukas ir lakas nagu grybeliui gydyti TREAT & COLOUR, 5 ml + 5 ml",NAILNER,nailner,8718053575513,8718053575513,871805357551,17944
"APIVITA  prausiklis su medumi sausai odai, 250 ml","APIVITA kūno prausiklis, sausai odai su medumi, 250 ml",APIVITA,apivita,520127907322,5201279073220,520127907322,19820
"EUCERIN itin lengvas drėkinamasis kremas PH5, 350 ml","EUCERIN itin lengvas drėkinamasis kūno kremas pH5, 350 ml",EUCERIN,eucerin,4005800311536,4005800311536,221542,21096
"Hedelix, 8mg/ml sirupas, 100 ml ir matavimo šaukštelis, Sirupas, N1","EUCERIN itin lengvas drėkinamasis kūno kremas pH5, 350 ml",HEDELIX,eucerin,100000001288,4005800311536,043405,21096
"POSTERISAN, 25 g, Tepalas, N1","NOVEXPERT drėkinamasis veido valiklis su magniu ir prebiotikais, 150 ml",POSTERISAN,novexpert,100000000742,3661467002470,014851,21419
"NOVEXPERT valomasis veido pienelis su magniu, 150 ml","NOVEXPERT drėkinamasis veido valiklis su magniu ir prebiotikais, 150 ml",NOVEXPERT,novexpert,3661467002470,3661467002470,227770,21419
"COSOPT, 20mg/5mg/ml, 5 ml, akių lašai, tirpalas, N1","PHARMACERIS skaistinamasis veido serumas W ACIPEEL, 30 ml",COSOPT,pharmaceris,06419716002583,5900717147515,048744,21463
"PHARMACERIS W skaistinamasis serumas ACIPEEL, 30 ml","PHARMACERIS skaistinamasis veido serumas W ACIPEEL, 30 ml",PHARMACERIS,pharmaceris,590071714751,5900717147515,590071714751,21463
"BIOB šampūnas su prebiotikais CARE, 300 ml","BIOB šampūnas CARE, 300 ml",BIOB,biob,5745000222049,5745000222049,574500022204,23076
"SMART WAY purškiamas maisto papildas VITAMINŲ B KOMPLEKSAS, mėtų ir citrinų skonio, 30 ml","SMART WAY B COMPLEX, purškiamas, 30 ml",SMART WAY,smart-way,4742024580224,4742024580224,474202458022,21047
"NITROMINT, 400µg/išpurškime, 10 g, poliežuvinis purškalas, N1","SMART WAY B COMPLEX, purškiamas, 30 ml",NITROMINT,smart-way,100000000226,4742024580224,012516,21047
"NITROMINT, 400µg/išpurškime, 10 g, poliežuvinis purškalas, N1","SMART WAY B COMPLEX, purškiamas, 30 ml",NITROMINT,smart-way,100000000226,4742024580224,012516,21047
"LASIX RETARD, 60mg, pailginto atpalaidavimo kietosios kapsulės, N30","LIFEPLAN MENOPAUSE COMPLETE, 30 tab.",LASIX RETARD,lifeplan,100000000374,5019205017220,049380,21399
"LASIX RETARD, 60mg, pailginto atpalaidavimo kietosios kapsulės, N30","LIFEPLAN MENOPAUSE COMPLETE, 30 tab.",LASIX RETARD,lifeplan,100000000374,5019205017220,049380,21399
"SVR poras sutraukiantis ir matinį efektą suteikiantis veido kremas SEBIACLEAR MAT + PORES, 40 ml","SVR matinį efektą suteikiantis kremas SEBIACLEAR, 40 ml",SVR,svr,3662361002726,3662361002726,340138133284,15814
"REFLUXAID, 12 kramtomųjų tablečių","REFLUXAID kramtomos tabletės, 12 tab.",REFLUXAID,refluxaid,4779019320695,4779019320695,206996,16275
"CRESCINA plaukų atauginimui skirtas šveičiamasis šampūnas moterims TRANSDERMIC HFSC, 200 ml","CRESCINA HFSC TRANSDERMIC TECHNOLOGY pilinguojantis šampūnas galvos odai moterims, 200 ml",CRESCINA,crescina,8051417839235,8051417839235,805141783923,18703
"HELEN SEWARD atstatomasis serumas pažeistiems plaukams SYNEBI, 150 ml","HELEN SEWARD atkuriamasis serumas pažeistiems plaukams SYNEBI, 150 ml",HELEN SEWARD,helen-seward,8011172019242,8011172019242,801117201924,19603
"TENA sauskelnės SLIP MAXI, M dydis, 24 vnt.","DELIA nagų kondicionierius STRONG NAILS, 11 ml",TENA,delia,7322540647204,5901350488263,732254039317,21319
"EMBRYOLISSE vėsinamoji priemonė paakiams RADIANT EYE, 4.5 g","EMBRYOLISSE paakių kremas RADIANT EYE, 4,5 g",EMBRYOLISSE,embryolisse,3350900001834,3350900001834,219650,21470
"SVR maitinamasis kremas TOPIALYSE CREME, 200 ml","BIOACTIVE apimties suteikianti plaukų kaukė HAIR CARE, 250 ml",SVR,bioactive,3662361002436,8050327866904,340139879844,25208
"SVR maitinamasis kremas TOPIALYSE CREME, 200 ml","BIOACTIVE apimties suteikianti plaukų kaukė HAIR CARE, 250 ml",SVR,bioactive,3662361002436,8050327866904,340139879844,25208
"ISDIN apsauginis dvifazis kūno losjonas FOTOPROTECTOR, SPF 50+, 200 ml","ISDIN apsauginis dvifazis losjonas jautriai odai HYDROLOTION, SPF50, 200 ml",ISDIN,isdin,8429420192232,8429420192232,842942019223,25304
"IDUN MINERALS kompaktinė pudra 2 IN 1, Nr. 1542 SKÄRGÅRD, 7.7 g+kempinėlė, 1 vnt.","IDUN MINERALS kompaktinė pudra 2in1 OSTERLEN, Nr. 1543, 7,7 g",IDUN MINERALS,idun-minerals,7340074715435,7340074715435,734007471542,26398
"IDUN MINERALS kompaktinė pudra 2 IN 1, Nr. 1543 ÖSTERLEN, 7.7 g+kempinėlė, 1 vnt.","IDUN MINERALS kompaktinė pudra 2in1 OSTERLEN, Nr. 1543, 7,7 g",IDUN MINERALS,idun-minerals,7340074715435,7340074715435,734007471543,26398
"LIOTON 1000, 100 g, Gelis, N1","IDUN MINERALS kompaktinė pudra 2in1 OSTERLEN, Nr. 1543, 7,7 g",LIOTON,idun-minerals,401305401391,7340074715435,401354013915,26398
"LIOTON 1000, 100 g, Gelis, N1","IDUN MINERALS kompaktinė pudra 2in1 OSTERLEN, Nr. 1543, 7,7 g",LIOTON,idun-minerals,401305401391,7340074715435,401354013915,26398
"IDUN MINERALS matiniai lūpų dažai HJORTRON, Nr. 6101, 4 g","IDUN MINERALS matiniai lūpų dažai HJORTRON, Nr. 6101, 4 g",IDUN MINERALS,idun-minerals,734007476101,7340074761012,734007476101,26429
"NEUTROGENA intensyvaus poveikio pėdų kaukė CICA, 1 vnt.","NEUTROGENA intensyvaus poveikio kaukė pėdoms NORWEGIAN FORMULA CICA, 30 g, 1 pora",NEUTROGENA,neutrogena,3574661534909,3574661534909,357466153490,18295
"SAPIENS ciberžolė su juodaisiais pipirais PRO, 90 kapsulių","SAPIENS ciberžolė su juodaisiais pipirais PRO, 90 kaps.",SAPIENS,sapiens,4779052390303,4779052390303,477905239030,26233
"BREXIN, 20mg, 20 paketėlių, milteliai geriamajam tirpalui, N20","ELGON kondicionierius veltis linkusiems plaukams YES SMOOTH SO SLEEK, 250 ml",BREXIN,elgon,100000001576,8056284451320,477902376032,26375
"BREXIN, 20mg, 20 paketėlių, milteliai geriamajam tirpalui, N20","ELGON kondicionierius veltis linkusiems plaukams YES SMOOTH SO SLEEK, 250 ml",BREXIN,elgon,100000001576,8056284451320,477902376032,26375
"AQUAMAG+B6 x 2, 42 pakeliai","BIOFARMACIJA AQUAMAG+ B6 X2, milteliai, 42 pakeliai",BIOFARMACIJA,biofarmacija,7290010108756,7290010108756,729001010875,20062
"Hepeel, Tabletės, N50",HEPEEL tabletės N50,HEPEEL,heel,100000000652,4047642000278,044450,15790
"IBUGARD 200mg/5ml, geriamoji suspensija, N1",IBUGARD 200 mg/5 ml geriamoji suspensija 100 ml,IBUGARD,ibugard,100000208214,5907529462416,208214,16535
"PROTO-COL COMPLETE COLLAGEN, 15 x 30 ml vnt.","PROTO-COL Complete Collagen, 15 pak.",PROTO-COL,proto-col,5060260284737,5060260284737,506026028473,21031
"ACNOFAN kremas, 25 ml",EFFERALGAN 500 mg šnypščiosios tabletės N16,ACNOFAN,efferalgan,5904826010289,3585550903669,827639,21617
"ACNOFAN kremas, 25 ml",EFFERALGAN 500 mg šnypščiosios tabletės N16,ACNOFAN,efferalgan,5904826010289,3585550903669,827639,21617
"EFFERALGAN, Šnypščiosios tabletės, N16",EFFERALGAN 500 mg šnypščiosios tabletės N16,EFFERALGAN,efferalgan,358555001486,3585550903669,011155,21617
"ACORUS BALANCE D3 + K2 LIPOSOMAL SHOTS, 14 buteliukų","ACORUS BALANCE D3 + K2 Liposomal Shots, 25 ml x 14 vnt.",ACORUS BALANCE,acorus-balance,4770161104836,4770161104836,477016110483,20991
"MAGVIT PLUS, 42 Tabletės","MAGVIT PLUS, 42 vnt.",MAGVIT,magvit,5391520948909,5391520948909,213593,17701
"PHARMACERIS H kondicionierius STIMULINUM, 150 ml","PHARMACERIS plaukų augimą skatinantis kondicionierius H STIMULINUM, 150 ml",PHARMACERIS,pharmaceris,5900717158313,5900717158313,590071715831,16914
"SENI CARE vonios druska, 400 g","SENI CARE druska kojų vonelėms, 400 g",SENI,seni,5900516699178,5900516699178,590051669917,18557
"PHYSIOMER  vienkartiniai filtrai, 20 vnt.","PHYSIOMER vienkartiniai filtrai nosies gleivių atsiurbikliui, 20 vnt.",PHYSIOMER,physiomer,3564300031777,3564300031777,356430000072,15394
"VITIRON KIDS grow UP, 50 kramtomųjų guminukų","VITIRON vitaminai vaikams KIDS GROW UP, 50 kramtomųjų guminukų",VITIRON,vitiron,4771295306721,4771295306721,477129530567,16351
"EUCERIN gelis-kremas nuo saulės vaikams, SPF 50+, nuo 3 mėn., 200 ml","EUCERIN vaikiškas losjonas nuo saulės SUN SENSITIVE PROTECT, SPF50, 200 ml",EUCERIN,eucerin,4005800321863,4005800321863,221242,20910
"SWANSON SELENAS, 100µg, 200 kapsulių","SWANSON selenas, 200 kaps.",SWANSON,swanson,0876140123530,087614012353,087614012353,15757
"SEPTOZINC akių lašai, 10 ml","SEPTOZINC akių lašai, 10 ml",SEPTOZINC,septozinc,8588000227860,8588000227860,858800022786,19249
"BABYONO vandens termometras ŽIRAFA, mėlyna spalva, 1 vnt.","BABYONO vandens termometras, žirafa, 1 vnt.",BABYONO,babyono,5901435407059,5901435407059,211209,16208
"EUCERIN kreminis veido gelis nuo saulės OIL CONTROL, SPF 50+, 50 ml","EUCERIN veido kreminis gelis nuo saulės, SPF50+, 50 ml",EUCERIN,eucerin,4005800119507,4005800119507,400580011950,24788
"NOUGHTY plaukų apimtį didinantis šampūnas ploniems, suglebusiems plaukams PUMPED UP, 250 ml","NOUGHTY plaukų apimtį didinantis šampūnas ploniems plaukams PUMPED UP, 250 ml",NOUGHTY,noughty,5060412677622,5060412677622,506041267762,17058
"WELLMAN 50+, 30 tablečių","VITABIOTICS WELLMAN 50+, 30 tab.",VITABIOTICS,wellman,5021265223510,5021265223510,502126522351,16072
"GRASSOLIND NEUTRAL sterilus tinklelinis tvarstis, 10 x 20 cm, 1 vnt.","GRASSOLIND sterilus tvarstis - tinklelinis NEULTRAL, 10 cm. x 20 cm., 1 vnt.",GRASSOLIND,grassolind,4049500400046,4049500216470,226163,17745
"ROYAL GREEN BIO MINI CAPS MULTI multivitaminai, LT-EKO-001, 90 kapsulių","ROYAL GREEN BIO multivitaminai MINI CAPS, nuo 4 metų, 90 tab.",ROYAL GREEN,royal-green,8710267024801,8710267024801,871026702480,22943
"ZENYTH resveratrolis su selenu, 30 kapsulių","ZENYTH Resveratrolis su selenu, 30 kaps.",ZENYTH,zenyth,5941872401371,5941872401371,221460,20726
"TOPIRAMAT ORION, 50mg, plėvele dengtos tabletės, N60","TEPE dantų šepetėlis NOVA, minkštas, 1 vnt.",TOPIRAMAT ORION,tepe,06432100013347,7350121251014,643210001334,22631
"TOPIRAMAT ORION, 50mg, plėvele dengtos tabletės, N60","TEPE dantų šepetėlis NOVA, minkštas, 1 vnt.",TOPIRAMAT ORION,tepe,06432100013347,7350121251014,643210001334,22631
"TEPE dantų šepetėlis NOVA, minkštas, 1 vnt.","TEPE dantų šepetėlis NOVA, minkštas, 1 vnt.",TEPE,tepe,7350121251014,7350121251014,222551,22631
"O.B. tamponai PRO COMFORT MINI, 8 vnt.","O.B. tamponai PRO COMFORT MINI, 8 vnt.",O.B.,o-b,3574661331133,3574661331133,357466024147,24669
"KLORANE šampūnas su avižų pieneliu visai šeimai OAT MILK, 200 ml","O.B. tamponai PRO COMFORT MINI, 8 vnt.",KLORANE,o-b,3282770145366,3574661331133,328277014536,24669
"KLORANE šampūnas su avižų pieneliu visai šeimai OAT MILK, 200 ml","O.B. tamponai PRO COMFORT MINI, 8 vnt.",KLORANE,o-b,3282770145366,3574661331133,328277014536,24669
"FLORADIX DETOX BIO, 250 ml+matavimo indelis","FLORADIX DETOX BIO, 250 ml",FLORADIX,floradix,4004148326332,4004148326332,400414832633,17754
"ACAPPELLA NATURALS eterinis aliejus SANTALAS, 10 ml","ACAPPELLA NATURALS eterinis aliejus SANTALMEDIS, 10 ml",ACAPPELLA NATURALS,acappella,5060574615753,5060574615753,506057461575,21404
"MEFIX ritininis pleistras, 10 cm x 10 m, 1 vnt.","ACAPPELLA NATURALS eterinis aliejus SANTALMEDIS, 10 ml",MEFIX,acappella,7332551586409,5060574615753,823348,21404
"BABĒ švytėjimo suteikiantis losjonas DEPIGMENT + LOTION GLOW, 150 ml","BABE pigmentines dėmes šviesinantis veido losjonas DEPIGMENT+, 150 ml",BABE,babe,8436571631985,8436571631985,223570,21627
"EUCERIN naktinis šveitiklis ir serumas HYALURON-FILLER NIGHT PEELING & SERUM, 30 ml","ISDIN tonuojanti veido emulsija FOTOPROTECTOR FUSION WATER, light, SPF50, 50 ml",EUCERIN,isdin,4005800207471,8429420231504,400580020747,25300
"EUCERIN naktinis šveitiklis ir serumas HYALURON-FILLER NIGHT PEELING & SERUM, 30 ml","ISDIN tonuojanti veido emulsija FOTOPROTECTOR FUSION WATER, light, SPF50, 50 ml",EUCERIN,isdin,4005800207471,8429420231504,400580020747,25300
"ISDIN atspalvį suteikianti veido emulsija FOTOPROTECTOR FUSION WATER, COLOR LIGHT, SPF 50, 50 ml","ISDIN tonuojanti veido emulsija FOTOPROTECTOR FUSION WATER, light, SPF50, 50 ml",ISDIN,isdin,8429420231504,8429420231504,221192,25300
"DUCRAY ANACAPS EXPERT, 30 kapsulių","DUCRAY progresuojančiam plaukų slinkimui ANACAPS EXPERT, 30 kaps.",DUCRAY,ducray,3282770389029,3282770389029,328277010532,22967
"LIVOL EXTRA SKIN COLLAGEN, 60 tablečių","LIVOL EXTRA SKIN COLLAGEN, 60 tab.",LIVOL,livol,5702071389439,5702071389439,570207138943,18460
"NUXE koncentruotas naktinis kremas MERVEILLANCE LIFT, 50 ml","NUXE koncentruotas naktinis veido kremas MERVEILLANCE LIFT, 50 ml",NUXE,nuxe,3264680024818,3264680024818,326468002481,19772
"BIODERMA micelinis valomasis vanduo SEBIUM H2O, 500 ml","ALLVERNUM kvepalai vyrams EAU DE PARFUME TABACCO & AMBER, 100 ml",BIODERMA,allvernum,3401575645851,5901845531658,340157564585,20251
"NOREVA dieninis koreguojamasis kremas nuo raukšlių NOVEANE PREMIUM, 40 ml","NOREVA dieninis koreguojamasis veido kremas nuo raukšlių PREMIUM, 40 ml",NOREVA,noreva,3571940000605,3571940000605,000000213564,20890
"FINLEPSIN, 200mg, Tabletės, N50","NOREVA dieninis koreguojamasis veido kremas nuo raukšlių PREMIUM, 40 ml",FINLEPSIN,noreva,000000011329,3571940000605,011329,20890
"ORFARIN, 3mg, Tabletės, N100","NANO DERMA veido kremas su hialuronu, 50 ml",ORFARIN,nano-derma,000000043711,4260132326935,043711,21094
"ORFARIN, 3mg, Tabletės, N100","NANO DERMA veido kremas su hialuronu, 50 ml",ORFARIN,nano-derma,000000043711,4260132326935,043711,21094
"WELEDA kremas SKIN FOOD LIGHT, 75 ml","WELEDA kūno kremas SKIN FOOD LIGHT, 75 ml",WELEDA,weleda,4001638501491,4001638501491,400163850149,21150
"CLEMASTINUM WZF POLFA , 0,1mg/ml, 100 ml, Sirupas, N1","WELEDA kūno kremas SKIN FOOD LIGHT, 75 ml",CLEMASTINUM WZF POLFA,weleda,590025702406,4001638501491,040026,21150
"CLEMASTINUM WZF POLFA , 0,1mg/ml, 100 ml, Sirupas, N1","WELEDA kūno kremas SKIN FOOD LIGHT, 75 ml",CLEMASTINUM WZF POLFA,weleda,590025702406,4001638501491,040026,21150
"SANORAL, 40mg/5mg, plėvele dengtos tabletės, N28","AVA dieninis kremas PLANET EARTH, 50 ml",SANORAL,ava,401305401823,5906323007380,401305401823,22926
"URIAGE emulsija BARIESUN ANTI-B SPOT, SPF 50+, be kvapo, 40 ml","URIAGE apsauginė veido emulsija be kvapo BARIESUN ANTI B SPOT, SPF50+, 40 ml",URIAGE,uriage,3661434008917,3661434008917,221251,25324
"NOAH stiprinamasis šampūnas silpniems, slenkantiems plaukams 1.7, 250 ml","NOAH stiprinantis šampūnas silpniems slenkantiems plaukams 1.7, 250 ml",NOAH,noah,8034063520818,8034063520818,803406352081,19323
"PLACENTA VITAE maitinamasis plaukų serumas, 50 ml","PLACENTA VITAE maitinamasis plaukų serumas, 50 ml",PLACENTA VITAE,placenta-vitae,8008423106011,8008423106011,800842310601,20272
"ELLAONE, 30mg, plėvele dengtos tabletės, N1",ELLAONE 30 mg tabletės N1,ELLAONE,ellaone,100000216100,3663555000016,216100,22466
"Bronchipret TI, 150mg+15mg/g, 100 ml ir dozavimo taurelė, Geriamasis tirpalas, N1",BRONCHIPRET TI geriamas tirpalas 100 ml,BRONCHIPRET,bronchipret,402979916051,4029799160517,402979916051,15198
"SINUPRET FORTE, dengtos tabletės, N20",SINUPRET FORTE dengtos tabletės N20,SINUPRET,sinupret,4029799160579,4029799160579,402979916057,15310
"VIPROSAL B tepalas, 75 g, Tepalas, N1",VIPROSAL B tepalas 75 g,VIPROSAL,viprosal,475023200344,4750232003442,475023200344,16582
"PHARMACERIS H šampūnas nuo seborėjinio dermatito SEBOPURIN, 250 ml","PHARMACERIS šampūnas nuo seborėjinio dermatito H SEBOPURIN, 250 ml",PHARMACERIS,pharmaceris,5900717157019,5900717157019,590071715701,15527
"MINIRIN, 60µg, geriamasis liofilizatas, N30","SEBORADIN šampūnas - dušo želė vaikams BEBE 2 IN 1 0+, 500 ml",MINIRIN,seboradin,100000002109,5902751582420,202796,22890
"MINIRIN, 60µg, geriamasis liofilizatas, N30","SEBORADIN šampūnas - dušo želė vaikams BEBE 2 IN 1 0+, 500 ml",MINIRIN,seboradin,100000002109,5902751582420,202796,22890
"VITAMIN C PROLONG, 40 kapsulių","Vitaminas C PROLONG , 40 kaps.",ACONITUM,aconitum,4771316305498,4771316305498,477131630549,22008
"BIODERMA micelinis valomasis vanduo SENSIBIO H2O, 850 ml","BIODERMA micelinis valomasis vanduo jautriai odai SENSIBIO H2O, 850 ml",BIODERMA,bioderma,3701129801642,3701129801642,370112980164,18274
"AVENE kremas alergiškai odai TOLERANCE CONTROL, 40 ml","AVENE atstatomasis kremas TOLERANCE CONTROL, 40 ml",AVENE,avene,3282770138801,3282770138801,328277013880,18521
"MEDIQUEST nitrilinės pirštinės be pudros, nesterilios, M dydis, 100 vnt.","MEDIQUEST nitrilo pirštinės, be pudros, dydis M, N100",MEDIQUEST,mediquest,7237849953430,7237849953430,723784995343,16149
"LIVOL EXTRA COLOSTRUM STRONG, citrinų skonio, nuo 3 m., 20 pastilių","LIVOL EXTRA COLOSTRUM STRONG, 20 čiulpiamų past.",LIVOL,livol,5702071500889,5702071500889,570207150088,19067
"DOPPEL HERZ ACTIV MAGNESIUM 400 + FOLSAURE + B-KOMPLEX, 80 tablečių","DOPPELHERZ AKTIV magnis 400, B1, B6 ,B12 , folio rūgštis, 80 tab.",DOPPELHERZ,doppelherz,4009932544756,4009932544756,400993254475,17967
"ZIG ZAG purškiamas repelentas, pelargonijos ir citronžolės kvapo, nuo 2 m., 1 buteliukas","ZIGZAG repelentas nuo vabzdžių SPRAY GERANIUM, 100 ml",ZIG-ZAG,zig-zag,8004235007584,8004235007584,224362,23150
"DOPPELHERZ AKTIV C+ZINC+SELEN+E DEPOT, 40 tablečių","DOPPELHERZ AKTIV C+ZINC+SELEN+E DEPOT, 40 tab.",DOPPELHERZ,doppelherz,4009932003543,4009932003543,400993200354,18452
"TENA sauskelnės kelnaitės PANTS SUPER, L dydis, 12 vnt.","TENA sauskelnės kelnaitės Pants Super, L, 12 vnt.",TENA,tena,7322542170977,7322541358505,731079124677,23323
"SWANSON ASTAKSANTINAS (ASTAXANTHIN) 4 mg, 60 minkštų kapsulių","SWANSON astaksantinas, natūralus, 4 mg, 60 kaps.",SWANSON,swanson,0876140273020,087614027302,087614027302,20985
"AZAS sterili medvilnės vata, 100 g",AZAS nesterili vata 100 g,AZAS,kita,4779021091583,4779021091583,477902109130,15220
"PHARMACERIS H šampūnas jautriai odai SENSITONIN, 250 ml",CANPOL BABIES vaikiškos žirklės su antgaliu,PHARMACERIS,canpol,5900717157118,5903407028095,590071715711,20309
"PHARMACERIS H šampūnas jautriai odai SENSITONIN, 250 ml",CANPOL BABIES vaikiškos žirklės su antgaliu,PHARMACERIS,canpol,5900717157118,5903407028095,590071715711,20309
"QUIXX hipertoninis Atlanto vandenyno vanduo EXTRA, 30 ml","QUIXX nosies purškalas EXTRA, 30 ml, 1 vnt.",QUIXX,quixx,4013054023402,4013054023402,401305402340,15837
"EAU THERMALE AVENE akių makiažo valiklis, 125 ml","AVENE švelnus akių makiažo valiklis ESSENTIAL, 125 ml",AVENE,avene,3282779051378,3282779051378,328277905137,22223
"MOUSTICARE purškalas nuo uodų, kitų geliančių vabzdžių ir erkių FAMILY, nuo 3 m., 125 ml","SEBAMED purškiama veido ir kūno emulsija vaikams nuo saulės BABY, SPF50, 200 ml",MOUSITCARE,sebamed,3401520698819,4103040898449,340152069881,24682
"SEBAMED purškiamoji emulsija nuo saulės vaikams, SPF 50, 200 ml","SEBAMED purškiama veido ir kūno emulsija vaikams nuo saulės BABY, SPF50, 200 ml",SEBAMED,sebamed,4103040898449,4103040898449,410304089844,24682
"ELGON šampūnas dažytiems plaukams COLORCARE DALICATE, 300 ml","ELGON kasdienis šampūnas dažytiems plaukams COLOR CARE DAILY, 300 ml",ELGON,elgon,8053264519810,8053264519810,805326451981,16045
"TENA sauskelnės FLEX MAXI, M dydis, 22 vnt.","TENA sauskelnės Flex Maxi, M, 22 vnt.",TENA,tena,7322541407432,7322541407432,732254007925,21818
"LYCIA depiliacinės juostelės veidui, jautriai odai, 20 vnt.","LYCIA depiliacinės vaško juostelės veidui DELICATE TOUCH, 20 vnt.",LYCIA,lycia,8002340014268,8002340014930,800367081575,23192
"PULSAAR ACTIVE nugaros ir juosmens mova su germaniu, L dydis, 1 vnt.","PULSAAR juosmens ir nugaros mova ACTIVE, šviesiai pilka spalva, L dydis, 1 vnt.",PULSAAR,pulsaar,7649989347534,7649989347534,764998934753,25143
"INOVO, 30 dengtų tablečių","INOVO, 30 tab.",INOVO,inovo,4772071000116,4772071000109,477207100011,18201
"ZENYTH maistinių skaidulų produktas su probiotikais COLON HELP PROBIOTIC FORTE, 240 g","ZENYTH maistinių skaidulų produktas su probiotikais COLON HELP PROBIOTIC FORTE, 240 g",ZENYTH,zenyth,5941872400268,5941872400268,221457,20734
"PHARMACERIS S drėkinamasis apsauginis kūno losjonas nuo saulės, SPF 30, 150 ml","PHARMACERIS apsauginis drėkinamasis kūno kremas S, SPF30, 150 ml",PHARMACERIS,pharmaceris,5900717149212,5900717149212,590071714921,15987
"GRINDEX HERBASTRESS, 30 tablečių","HERBASTRESS maisto papildas, 450 mg, 30 tab.",HERBASTRESS,herbastress,4750232006368,4750232003992,475023200636,22649
"EAU THERMALE AVENE akių ir veido valomasis micelių losjonas, 200 ml","AVENE micelinis losjonas makiažo valymui MICELLAR, 200 ml",AVENE,avene,3282770152463,3282770152463,328277905134,17285
"WELEDA maitinamasis kremas SKIN FOOD, 75 ml","WELEDA kūno kremas SKIN FOOD, 75 ml",WELEDA,weleda,4001638093989,4001638093989,400163809398,18234
"APIVITA detoksikuojamoji veido kaukė su moliūgais EXPRESS BEAUTY, 8 ml x 2 vnt.","APIVITA detoksikuojamoji veido kaukė su moliūgu EXPRESS BEAUTY, 2 vnt., 8 ml",APIVITA,apivita,520127907226,5201279081812,520127907226,19169
"VICHY veido kremas vyrams HOMME STRUCTURE FORCE, 50 ml","VICHY veido kremas vyrams HOMME STUCTURE FORCE, 50 ml",VICHY,vichy,3337875647212,3337875647212,333787564721,19525
"MACMIROR COMPLEX, 100mg/40000TV/g, 30 g, makšties kremas, N1","JFENZI parfumuotas vanduo moterims MAGIQUE DIAMOND, 100 ml",MACMIROR COMPLEX,jfenzi,100000000397,5902539681048,047243,21159
"Sterilus tvarstis nudegimams tvarstyti, 60 x 80 cm, 1 vnt.","PURING glotninanti plaukų kaukė SMOOTHING, 250 ml",KITA,puring,100000217216,8053853726094,217216,21715
"MedB Shea Butter drėkinamasis rankų kremas, 70 ml","MEDB rankų kremas su taukmedžiu, 70 ml",MEDB,medb,8809698220736,8809698220736,880969822073,22990
"URIAGE dieninis veido kremas AGE LIFT, SPF 30, 40 ml","URIAGE dieninis veido kremas AGE LIFT, SPF30, 40 ml",URIAGE,uriage,3661434009259,3661434009259,220150,23087
"CARBOPLATIN ACCORD, 10mg/ml, 15 ml, koncentratas infuziniam tirpalui, N1","URIAGE dieninis veido kremas AGE LIFT, SPF30, 40 ml",CARBOPLATIN ACCORD,uriage,05055565712726,3661434009259,202222,23087
"FOAM LITE tvarstis CONVATEC, 10 x 10 cm, 10 vnt.","FOAM tvarstis Lite, 10 cm x 10 cm, 10 vnt.",FOAM LITE,convatec,7684551423162,768455142316,210845,16811
"OTRIVIN, 0,5 mg/ml, 10 ml, nosies lašai, tirpalas, N1",OTRIVIN 0.5 mg/ml nosies lašai (tirpalas) 10 ml,OTRIVIN,otrivin,000000042466,4750769000327,042466,18217
"BABOO lateksinis apvalus čiulptukas, nuo 6 mėn., 1 vnt.","BABOO lateksinis, apvalus čiulptukas nuo 6 mėn., 1 vnt.",BABOO,baboo,5057778051029,5057778051029,505777805102,19911
"ACCU-CHECK adatėlės SOFTCLIX, 0,4 mm, 200 vnt.","SWISS IMAGE naktinis veido kremas ELASTICITY BOOSTING, 50 ml",,swiss-image,4015630006182,7640140383446,206491,20596
"ELGON plaukų šampūnas SUBLIMIA 10 IN 1 BEAUTIFYING, 250 ml","ELGON šampūnas plaukams SUBLIMIA BEAUTIFYING SHAMPOO 10 IN 1, 250 ml",ELGON,elgon,8050327684102,8050327684102,805032768410,18917
"Dr. Theiss Husticum, 50 mg/g, 100 ml, Sirupas, N1",DR. THEISS HUSTICUM 50 mg/g sirupas 100 ml,DR. THEISS,dr-theiss,401636973115,4016369731154,401636973115,22087
"CUMLAUDE lipogelis RECTAL, 30 ml","CUMLAUDE lipogelis RECTAL, 30 ml",CUMLAUDE,cumlaude,8428749884101,8428749884101,226944,27102
"DRETACEN, 1000mg, plėvele dengtos tabletės, N30","CUMLAUDE lipogelis RECTAL, 30 ml",DRETACEN,cumlaude,100000204156,8428749884101,204156,27102
"RANIGAST S-O-S, 12 kramtomųjų tablečių","RANIGAST kramtomosios tabletės S-O-S, 12 vnt.",RANIGAST,ranigast,5903060617483,5903060617483,590306061748,18347
